dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.100000,audio,full,trainDL1_evalDL0_testDL0,audio,0,111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_audio_full.log,mosi_m0.1_audio_seed111_trainDL1_evalDL0_testDL0_20260523_1219,0.790100,0.792100,0.804900,0.806300,0.381900,0.361500,0.877700,0.713100,0.876500
mosi,0.100000,audio,full,trainDL1_evalDL0_testDL0,audio,0,1111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_audio_full.log,mosi_m0.1_audio_seed1111_trainDL1_evalDL0_testDL0_20260523_1219,0.778400,0.778500,0.780500,0.779700,0.364400,0.326500,0.977700,0.738600,0.977600
mosi,0.100000,audio,full,trainDL1_evalDL0_testDL0,audio,0,11111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_audio_full.log,mosi_m0.1_audio_seed11111_trainDL1_evalDL0_testDL0_20260523_1219,0.801700,0.804100,0.820100,0.821700,0.497100,0.438800,0.799500,0.741600,0.797200
mosi,0.100000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_full.log,mosi_m0.1_dynamic_soft_seed111_trainDL1_evalDL0_testDL0_20260523_1257,0.787200,0.786600,0.797300,0.796100,0.437300,0.368800,0.866900,0.732800,0.863900
mosi,0.100000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,1111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_full.log,mosi_m0.1_dynamic_soft_seed1111_trainDL1_evalDL0_testDL0_20260523_1257,0.791500,0.791500,0.806400,0.805700,0.403800,0.346900,0.932100,0.726000,0.930400
mosi,0.100000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,11111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_full.log,mosi_m0.1_dynamic_soft_seed11111_trainDL1_evalDL0_testDL0_20260523_1257,0.791500,0.792900,0.809500,0.810000,0.481000,0.421300,0.795700,0.746200,0.794100
mosi,0.100000,dynamic_soft_moe,full,trainDL1_evalDL0_testDL0,dynamic_soft,1,111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_moe_full.log,mosi_m0.1_dynamic_soft_moe_seed111_trainDL1_evalDL0_testDL0_20260523_1316,0.784300,0.787000,0.804900,0.806600,0.463600,0.414000,0.836900,0.725300,0.838300
mosi,0.100000,dynamic_soft_moe,full,trainDL1_evalDL0_testDL0,dynamic_soft,1,1111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_moe_full.log,mosi_m0.1_dynamic_soft_moe_seed1111_trainDL1_evalDL0_testDL0_20260523_1316,0.779900,0.779400,0.794200,0.793100,0.428600,0.386300,0.854200,0.723800,0.856300
mosi,0.100000,dynamic_soft_moe,full,trainDL1_evalDL0_testDL0,dynamic_soft,1,11111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_dynamic_soft_moe_full.log,mosi_m0.1_dynamic_soft_moe_seed11111_trainDL1_evalDL0_testDL0_20260523_1316,0.763800,0.763800,0.765200,0.764300,0.409600,0.312000,1.001700,0.701000,1.003000
mosi,0.100000,text,full,trainDL1_evalDL0_testDL0,text,0,111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_text_full.log,mosi_m0.1_text_seed111_trainDL1_evalDL0_testDL0_20260523_1204,0.790100,0.789900,0.803400,0.802600,0.489800,0.409600,0.842900,0.743000,0.843400
mosi,0.100000,text,full,trainDL1_evalDL0_testDL0,text,0,1111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_text_full.log,mosi_m0.1_text_seed1111_trainDL1_evalDL0_testDL0_20260523_1204,0.778400,0.778200,0.788100,0.787300,0.425700,0.329400,0.986300,0.703800,0.987400
mosi,0.100000,text,full,trainDL1_evalDL0_testDL0,text,0,11111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_text_full.log,mosi_m0.1_text_seed11111_trainDL1_evalDL0_testDL0_20260523_1204,0.803200,0.804700,0.823200,0.823900,0.472300,0.380500,0.848200,0.744000,0.850200
mosi,0.100000,vision,full,trainDL1_evalDL0_testDL0,vision,0,111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_vision_full.log,mosi_m0.1_vision_seed111_trainDL1_evalDL0_testDL0_20260523_1237,0.798800,0.800100,0.818600,0.819000,0.456300,0.376100,0.838500,0.742700,0.841300
mosi,0.100000,vision,full,trainDL1_evalDL0_testDL0,vision,0,1111,1,0,0,0.100000,0.050000,0.500000,soft,2.000000,0.010000,0.500000,0,0,1,1,24,24,24,results/auto_anchor_runs_fulltest,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_fulltest/logs/mosi_missing0.1_vision_full.log,mosi_m0.1_vision_seed1111_trainDL1_evalDL0_testDL0_20260523_1237,0.782800,0.782200,0.794200,0.793000,0.418400,0.379000,0.859400,0.727400,0.859100
